Vertices
17216,1315982960,-104166.4427818972,1.46909748429084E7
1187,1387942578,-114012.0744364195,1.4690429677966135E7
17222,1315982968,-104440.04972175881,1.469075935063812E7
1186,1387942579,-114005.64406856628,1.469042855363928E7
17217,1315982974,-104193.21086597412,1.4690894559291638E7
17559,4780137727,-104627.47546123288,1.4686011997369854E7
30552,4800585275,-115588.88951994278,1.4690550103391277E7
28028,1315982955,-104502.9312136714,1.4688954549997786E7
17232,1315982957,-104876.77681390531,1.4690380830973577E7
8404,4800585276,-115566.17791564763,1.4690541453866841E7
7993,5190071666,-100641.74121308875,1.4684586016956689E7
7992,5190071664,-100642.23732683265,1.4684586395442957E7
11543,4780137694,-104330.00911639963,1.4686623007790921E7
10184,4780137693,-104565.8391340032,1.4685423117263557E7
15842,261689305,-98343.75962600324,1.4685948456204507E7
9001,261689304,-98409.12628691473,1.4685876933431674E7
8099,261689307,-98206.03574767124,1.4686323447041197E7
15841,261689306,-98302.31456070615,1.4686015080919744E7
8092,261689309,-98108.9192582561,1.4686877573202461E7
8094,261689308,-98132.69277530571,1.4686712664508803E7
8090,261689310,-98087.80953556197,1.4687029813738074E7
3783,261689297,-98716.91698154328,1.4685700759205543E7
9006,261689296,-98774.09313073297,1.4685656621027444E7
9004,261689299,-98601.04870886546,1.4685773907242944E7
9005,261689298,-98667.15599113297,1.4685736893512255E7
9002,261689303,-98453.2190037501,1.4685848713940758E7
9003,261689302,-98547.06228476278,1.4685800790899968E7
9011,261689288,-99143.78991458929,1.4685384789962875E7
9009,261689290,-99049.3781403154,1.4685435440331187E7
9008,261689293,-98945.46359088976,1.4685516480920486E7
9014,261689283,-99581.19160874542,1.468536033307075E7
9015,261689282,-99634.90489458758,1.4685351594490724E7
9012,261689286,-99240.17830988899,1.4685361090043286E7
1200,2477364168,-111549.96491922221,1.4680551865402034E7
327,2477364171,-110306.49135210313,1.4680903835368024E7
8056,261689343,-95922.91619976002,1.4688546708779369E7
11608,4780137602,-104785.16451140807,1.4686720022727145E7
11612,4780137603,-104846.49641857861,1.4686703235747932E7
1225,2477364162,-112233.80334406465,1.4680399747317867E7
11614,4780137601,-104890.30623522478,1.4686701298788793E7
1224,2477364165,-112225.37568411796,1.4680401283526836E7
11465,4780137607,-104646.35584576448,1.468700891906965E7
8074,261689321,-97317.2139361541,1.46882132067169E7
8075,261689320,-97369.1768083969,1.4688137464935364E7
8073,261689322,-97268.35297205602,1.4688279352758331E7
30265,4929824165,-111416.43843374586,1.4689219924531888E7
8066,261689325,-96916.39501825915,1.4688540541679578E7
8088,261689313,-98055.00936358908,1.4687213301654747E7
8089,261689312,-98072.13258190374,1.4687150985003803E7
28735,4780137619,-104928.82735792627,1.4686577734154012E7
8085,261689315,-98012.74449483104,1.4687298394273512E7
8086,261689314,-98038.81643803525,1.4687253231956093E7
15223,2477364178,-110196.5597004271,1.4681225070022607E7
8084,261689317,-97954.57435313372,1.4687384789330315E7
8076,261689319,-97421.00025322259,1.4688061133160528E7
28733,4780137620,-104924.87601623488,1.4686541800222386E7
8080,261689318,-97750.01912595013,1.4687632831419699E7
30439,4780137621,-104958.16934080524,1.4686684188983059E7
8944,4780137580,-104225.14551111546,1.468613124280839E7
8939,4780137581,-104464.42116693886,1.4685914737530747E7
13261,4780137572,-103691.06518420318,1.4685657155361E7
11555,4780137598,-104595.52062374324,1.4686481353738885E7
10293,4780137599,-104791.89202412048,1.4686446722245298E7
22615,319361942,-109490.84804978041,1.4686007288555391E7
17233,1315983057,-104898.07550795254,1.4690319783364825E7
17231,1315983059,-104829.41703337878,1.4690468450544778E7
30622,1315983061,-104999.722315436,1.4689433401919384E7
8951,4780137538,-104257.9556535251,1.4686402995949313E7
3874,4780137539,-104112.59345153424,1.4686075438347654E7
8927,4780137537,-104301.97054542066,1.4686421697623767E7
17229,1315983041,-104740.80998496237,1.4690561725146117E7
30620,1315983043,-105099.47689873504,1.4689513919307075E7
13316,4780137566,-104024.01667808222,1.468565282503281E7
30617,1315983045,-105139.53590725843,1.4689621787893653E7
17215,1315983047,-104155.6484378746,1.4691070833705308E7
17230,1315983049,-104787.53308769755,1.4690524778207121E7
30621,1315983053,-105069.05242807319,1.4689482337967535E7
30615,1315983024,-104487.20426035521,1.4688970257177936E7
30618,1315983028,-105131.01216377072,1.4689570213573568E7
30616,1315983029,-105146.92244641772,1.4689654938838013E7
17424,2286389390,-99521.41211253725,1.4685800134114973E7
17214,1315983037,-104154.37085829143,1.4691135009391753E7
17435,2286389399,-99293.02724036628,1.4686052851622973E7
17211,1315983009,-104152.19244641106,1.4691190201595288E7
1837,792539119,-114704.95655717784,1.4678934092638185E7
17432,2286389397,-99323.59969960345,1.4685920537276216E7
16643,2286389395,-99355.06694592217,1.4685789625555044E7
17430,2286389393,-99376.58833740998,1.4685860836633304E7
10173,4780137522,-104461.86074781345,1.4685245028342184E7
16638,2286389407,-99223.79754847154,1.4686024331569433E7
10171,4780137523,-104367.46765215113,1.4685241299139244E7
16639,2286389405,-99230.75876313701,1.4685970987269444E7
17437,2286389403,-99257.63929391431,1.4686096154904893E7
10172,4780137524,-104374.70131185304,1.4685243981938971E7
16641,2286389401,-99274.11882007231,1.4685864576968195E7
17221,1315982993,-104320.49836978296,1.4690796998889906E7
17444,2286389410,-99112.61924886673,1.4686157870430589E7
17441,2286389409,-99156.07291720576,1.4686129840182807E7
17228,1315983002,-104689.69608231261,1.469060373712194E7
30628,1315983003,-104601.4017727971,1.4689263049702624E7
30612,1315983006,-104480.81873531609,1.4688994892181247E7
